customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,customer_value,is_repeat,has_discount,age_group
2701,22,Female,T-shirt,Clothing,68.0,California,XL,Olive,Winter,3.2,No,Standard,No,36.0,Cash,Weekly,2448.0,1,0,Young
521,51,Male,Sunglasses,Accessories,84.0,South Carolina,M,White,Spring,3.9,Yes,Free Shipping,Yes,20.0,Debit Card,Quarterly,1680.0,1,1,Mid
3157,18,Female,Shirt,Clothing,50.0,Montana,M,Black,Winter,3.1,No,2-Day Shipping,No,18.0,Cash,Monthly,900.0,1,0,Young
1687,22,Male,Gloves,Accessories,75.0,Illinois,L,Red,Fall,4.2,No,Store Pickup,No,25.0,Cash,Annually,1875.0,1,0,Young
2929,40,Female,Jewelry,Accessories,80.0,Alabama,L,Yellow,Spring,3.6,No,Store Pickup,No,17.0,Credit Card,Weekly,1360.0,1,0,Adult
3583,23,Female,Shorts,Clothing,41.0,California,S,Beige,Summer,3.4,No,2-Day Shipping,No,15.0,PayPal,Annually,615.0,1,0,Young
1411,61,Male,Hat,Accessories,93.0,Tennessee,M,Purple,Summer,4.0,No,Store Pickup,Yes,18.0,Debit Card,Annually,1674.0,1,1,Senior
113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28.0,PayPal,Bi-Weekly,1820.0,1,1,Adult
166,42,Male,Handbag,Accessories,60.0,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,7.0,Cash,Monthly,420.0,1,1,Mid
947,46,Male,Coat,Outerwear,24.0,Pennsylvania,XL,Blue,Spring,2.8,Yes,Next Day Air,Yes,4.0,PayPal,Quarterly,96.0,1,1,Mid
3855,57,Female,T-shirt,Clothing,20.0,Florida,M,Black,Spring,4.2,No,Free Shipping,No,4.0,Venmo,Annually,80.0,1,0,Mid
481,68,Male,Hoodie,Clothing,88.0,Vermont,M,Gray,Summer,4.8,Yes,Standard,Yes,30.0,Debit Card,Bi-Weekly,2640.0,1,1,Senior
3790,56,Female,Shirt,Clothing,75.0,North Dakota,M,Magenta,Summer,3.8,No,Express,No,18.0,Bank Transfer,Every 3 Months,1350.0,1,0,Mid
3617,42,Female,Hoodie,Clothing,23.0,Wisconsin,L,Purple,Winter,3.3,No,Store Pickup,No,33.0,Debit Card,Fortnightly,759.0,1,0,Mid
2659,52,Female,Handbag,Accessories,47.0,Ohio,XL,Indigo,Summer,3.2,No,Next Day Air,No,39.0,PayPal,Monthly,1833.0,1,0,Mid
3725,30,Female,Gloves,Accessories,71.0,Colorado,L,Green,Winter,3.1,No,Express,No,18.0,Bank Transfer,Annually,1278.0,1,0,Adult
2134,21,Male,Hat,Accessories,34.0,Maine,M,Olive,Summer,3.8,No,Standard,No,13.0,Bank Transfer,Annually,442.0,1,0,Young
833,58,Male,Jacket,Outerwear,80.0,California,L,Blue,Fall,2.5,Yes,Express,Yes,28.0,Cash,Bi-Weekly,2240.0,1,1,Mid
